No.,英語,日本語
1,comfortable,快適な
2,responsibilities,責任
3,range,範囲
4,avoid,避ける
5,reserve,予約する / 〜を予約する
6,necessarily,必然的に
7,particularly,特に
8,suddenly,突然
9,regularly,定期的に
10,essay,作文
11,effort,努力
12,exhibition,展示/公開
13,matter,物質/問題 / 問題である/重要である
14,conclusion,結果 / 結論
15,develop,発達する
16,discuss,〜について話し合う
17,depend,〜次第である
18,spite,悪意/恨み
19,coal,石炭
20,wood,木材
21,fix,固定する / 取り付ける
22,asleep,眠って
23,fill,満たす
24,fell,fall(落ちる)の過去系
25,way,方法/道
26,amusing,面白い/楽しい
27,whole,全体の
28,sir,目上の人の呼び方
29,less,〜より小さい(少ない)
30,population,人口
31,trouble,トラブル
32,enough,十分な
33,neither,否定
34,either,どちらか一方 / どちらか
35,fee,手数料 / 料金/報酬
36,spare,予備の/余分の
37,fare,運賃 / 料金
38,result,結果
39,attend,出席する / 〜に出席する/〜に通う
40,connect,(2つ以上)〜をつなぐ / 〜をつなぐ
41,jet,ジェット機
42,lag,遅れをとる
43,disappear,見えなくなる
44,suffer,苦しむ / 苦しむ/受ける
45,escape,〜を逃れる / 逃亡
46,hurt,〜を傷付ける
47,destination,目的地
48,danger,危険
49,polite,礼儀正しい
50,generous,寛大な
51,daughter,娘
52,suggest,〜を提案する / 提案する
53,explain,〜を説明する
54,definite,明確な
55,remote,遠く離れた
56,visible,明らかな
57,cause,原因
58,none,否定
59,sense,判断力/感覚 / 分別
60,lack,不足
61,fault,責任/欠陥
62,graduate,卒業する
63,weight,重さ
64,sure,〜を確信している
65,few,少数の
66,trust,信頼
67,climate,気候
68,throughout,〜を通してずっと/〜の至る所に
69,general,総合的な/一般的な
70,someone,誰か
71,elementary,初級の/基礎的な
72,however,しかしながら
73,grade,階級
74,spell,(語)をつづる
75,strength,力/強さ
76,relative,比較上の
77,harmful,有害な
78,melt,溶ける
79,sail,〜をあやつる
80,grab,つかもうとする
81,upstairs,階上
82,seldom,めったに...ない
83,remember,記憶している
84,quality,質
85,policy,政策/方針
86,deliver,〜を配達する
87,ignore,〜を無視する / 無視する
88,treasure,財宝
89,influence,影響
90,waste,浪費する
91,medicine,薬
92,supply,供給量 / 供給
93,traffic,交通
94,knowledge,知識
95,notice,通告 / 〜に気が付く/気づく
96,scenery,景色
97,ahead,前方に
98,cheaper,安い
99,expensive,高価な
100,refrigerator,冷蔵庫
101,apartment,アパート
102,while,〜している間に
103,recipes,レシピの複数
104,smell,...のにおいがする
105,bite,〜を噛む
106,realize,...だと気づく
107,clown,ピエロ
108,patient,患者
109,recent,最近の
110,survey,調査
111,aged,...歳の
112,scary,恐ろしい
113,probably,たぶん
114,scare,〜を怖がらせる
115,bagel,ベーグル
116,earn,〜を得る
117,bit,少し
118,thankful,ありがたく思って
119,nation,国
120,president,大統領
121,explore,〜を探検する / 探検する
122,geography,地理
123,journey,旅行
124,translate,〜を翻訳する/〜を解釈する
125,addition,追加
126,unable,できない
127,successful,成功した
128,wrap,〜を包む
129,spend,〜を費やす
130,protect,〜を保護する
131,allow,〜を許す / 許す
132,improve,〜を改善する
133,introduce,〜を紹介する
134,hide,〜を隠す
135,prepare,〜を準備する
136,increase,増える
137,decrease,減る / 減らす
138,express,〜を表現する
139,consider,〜をよく考える / よく考える
140,celebrate,〜を祝う
141,guess,〜を推測する
142,recommend,〜を推薦する / 勧める
143,succeed,成功する
144,accept,〜を受け入れる
145,reduce,〜を減らす / 小さくする
146,retire,引退する
147,prevent,〜を妨げる
148,noise,騒音
149,theater,劇場
150,advantage,利益/利点
151,amount,量 / 〜な量
152,damage,損害
153,environment,環境
154,article,記事/品物
155,government,政府
156,neighbor,隣人
157,effect,効果/影響
158,appointment,予約 / 約束
159,direction,方向/指図
160,disaster,災害
161,material,材料/題材
162,method,方法
163,purpose,目的
164,close,近い/親密な
165,local,地方
166,similar,同じような / よく似た
167,concrete,具体的な
168,noisy,騒々しい
169,common,普通の/共通の
170,nearby,近くの
171,necessary,必要な
172,ordinary,平凡な/通常の / 平凡な
173,modern,現代の
174,public,公共の
175,certainly,確かに
176,gradually,徐々に
177,bake,〜を焼く
178,apologize,謝る / 謝罪する
179,control,支配する
180,feed,〜に餌をやる
181,hire,〜を雇う / 雇う
182,publish,〜を出版する
183,remind,〜に思い出させる
184,solve,〜を解決する
185,argument,議論
186,author,著者
187,instrument,道具/楽器
188,value,価値
189,empty,空っぽの / 空の
190,flat,平らな
191,heavy,重い
192,nervous,心配して/神経質な
193,amuse,〜を楽しませる
194,seek,〜を探す
195,disappoint,〜を失望させる
196,recognize,〜を認識する
197,sharp,鋭い
198,loud,大声の
199,accidentally,偶然に
200,endlessly,果てしなく
201,competition,競争
202,courage,勇気
203,complain,不平を言う
204,describe,〜を描写する
205,deadline,締め切り
206,upset,動揺して
207,honestly,正直に
208,privately,ひそかに
209,otherwise,そうでなければ
210,rent,家賃 / 〜から借りる/借りる
211,disadvantage,不利な点
212,equipment,設備
213,permanent,永遠の
214,unite,〜を団結させる
215,invent,〜を発明する
216,extra,追加の / 追加の/余分な
217,deck,甲板
218,runway,滑走路
219,available,入手できる
220,flow,流れる
221,focus,集中する
222,delay,〜を遅らせる
223,harm,〜を傷付ける
224,import,〜を輸入する
225,custom,慣習
226,decision,決定/決意
227,location,位置/場所
228,opportunity,機会
229,pleasure,喜び
230,shortage,不足
231,silence,静寂
232,success,成功
233,tradition,伝統
234,absent,欠席して
235,directly,直接的に
236,lately,最近
237,nearly,ほとんど
238,tight,きつい
239,salty,塩辛い
240,financial,経済的な
241,species,種
242,existence,存在
243,miss,〜がいなくて寂しく思う
244,particular,特定の / 特別な
245,trash,ゴミ
246,career,職歴/キャリア
247,religion,宗教
248,physical,物質的な/身体の
249,economics,経済学
250,stranger,見知らぬ人
251,break down,故障する(2語)
252,carry out,〜を実行する(2語)
253,call off,〜を中止する(2語)
254,come across,〜に出くわす(2語)
255,depend on,〜次第である(2語)
256,feel like doing,〜したい気がする(3語)
257,get over,〜を克服する(2語)
258,get rid of,〜を取り除く(3語)
259,give out,〜を配る(2語)
260,go through,〜を経験する
261,keep up with,〜に(遅れないで)ついていく
262,lose one's way,道に迷う
263,make out,〜を理解する
264,make use of,〜を利用する
265,pick up,〜を車で迎えにいく
266,play a part in,〜で役割を果たす
267,put away,〜を片付ける
268,put off,〜を延期する
269,put on,〜を着る/身に着ける
270,put up with,〜を我慢する
271,result in,結局〜に終わる
272,run out of,〜がなくなる
273,see off,〜を見送る
274,stay up late,夜更かしをする
275,take advantage of,〜を利用する
276,take care of,〜を世話する
277,take part in,〜に参加する
278,throw away,〜を捨てる
279,turn off,〜を消す
280,be aware of,〜に気付いている
281,be certain to do,必ず〜する
282,be crowded with,〜で混雑している
283,be satisfied with,〜に満足している
284,be used to doing,〜するのに慣れている
285,be willing to do,進んで〜する
286,after all,結局(は)
287,in charge of,〜を担当して/〜の責任者で
288,because of,〜のために
289,before long,間もなく
290,by accident,偶然に
291,by the way,ところで
292,even if 〜,たとえ〜だとしても
293,from now on,今後ずっと
294,so far,今までのところ/そこまでは
295,in addition to,〜に加えて
296,in advance,あらかじめ
297,in particular,特に
298,in spite of,〜にもかかわらず
299,in turn,順番に
300,not only A but B.,AばかりでなくBもまた
301,on purpose,わざと
302,on sale,売り出し中で
303,on time,時間通りに
304,run short of,〜が不足する
305,for sale,売り物の
306,in time,間に合って
307,catch up with,〜に追いつく
308,sooner or later,遅かれ早かれ
309,without fail,必ず/間違いなく
310,marry,〜と結婚する
311,ocean,海洋/海
312,brain,脳/頭脳
313,blood,血
314,terrible,ひどい/恐ろしい / 猛烈な
315,thick,厚い/濃い
316,thin,薄い/細い
317,period,期間/時代
318,plenty,多数/多量
319,role,役割
320,almost,ほとんど/もう少しで
321,exactly,まさしく/正確に
322,hang,〜をつるす/掛ける
323,pain,痛み
324,prefer,〜を好む
325,prove,〜を証明する
326,calm,〜を落ち着かせる / 落ち着いた
327,admire,〜を賞賛する
328,refuse,〜を断る / 〜するのを断る
329,surface,表面
330,relationship,関係
331,continent,大陸
332,weapon,武器/兵器
333,reflect,〜を反映する
334,expert,熟練者/専門家
335,engineer,技術者/機関士
336,carpenter,大工
337,attract,〜を引きつける
338,lazy,怠け者の/怠惰な
339,exciting,人を興奮させる
340,lie,嘘
341,several,いくつかの
342,war,戦争の
343,else,他の
344,anyone,誰か
345,tooth,歯
346,steal,盗み
347,chopsticks,箸
348,dish,盛り皿
349,though,〜だけれども
350,temple,神殿
351,tear,涙
352,enter,〜に入る
353,wheelchair,車椅子
354,weak,弱い
355,moment,瞬間
356,cheer,激励
357,perhaps,ひょっとすると
358,middle,中東
359,electricity,電気
360,church,教会
361,nest,巣/隠れ場
362,state,状態 / 状態/国家/述べる
363,clearly,はっきりと
364,past,過去の
365,earthquake,地震
366,truth,真実
367,castle,城
368,actually,現実に
369,examination,試験
370,funny,おかしい/面白い
371,frog,カエル
372,clerk,事務員
373,nobody,誰も...ない
374,beat,打ち破る
375,repair,〜を修理する
376,soldier,兵士
377,disabled,障害のある
378,exercise,運動
379,add,〜を加える
380,fossil,化石
381,pollution,汚染/公害
382,least,最小の
383,statue,彫像
384,heritage,遺産/継承物
385,tool,道具
386,expect,〜を予想する
387,invention,発明
388,storm,嵐
389,fairy,妖精
390,worse,より悪い
391,rather,多少
392,serions,真面目な
393,although,たとえ...でも
394,male,男の
395,tide,潮
396,thief,泥棒
397,shell,貝殻
398,discover,発見する
399,wing,翼
400,ware,...製品
401,pat,軽く叩く
402,force,力
403,wheel,車輪
404,habit,癖 / 習慣
405,education,教育
406,personal,個人の
407,pupil,生徒
408,enemy,敵
409,resource,資源
410,string,紐
411,fear,恐れ / 恐怖/嫌悪
412,fuel,燃料
413,source,源
414,league,同盟
415,passenger,乗客
416,advertisement,広告
417,whistle,口笛を吹く
418,female,女性の
419,district,地域
420,expression,表現する
421,frightened,怯えた
422,law,法律
423,treat,〜を扱う
424,principal,最も重要な
425,atmosphere,雰囲気/大気
426,campaign,運動
427,calligraphy,書道
428,ill,病気
429,path,細道
430,topic,話題
431,audience,観客/観衆
432,fair,妥当な
433,act,行為
434,puppy,子犬
435,kindergarten,幼稚園
436,mud,泥
437,insect,昆虫
438,crow,カラス/鳴く
439,seed,種
440,envelope,封筒
441,desert,砂漠
442,spread,広がり
443,confuse,〜を困惑させる
444,announcement,発表
445,rub,擦る
446,pollute,〜を汚染する
447,term,専門用語
448,fisherman,漁師
449,poison,毒
450,completely,完全に
451,mist,霧
452,crane,ツル/伸ばす
453,somebody,大物
454,pardon,〜を許す
455,remain,〜のままである
456,sand,砂
457,endanger,〜を危険にさらす
458,destroy,〜を破壊する
459,hobby,趣味
460,branch,枝
461,crime,犯罪
462,disease,病気
463,skin,皮膚
464,electric,電気の
465,conversation,会話
466,doll,人形
467,encourage,〜を励ます
468,layer,層
469,chemical,化学の
470,pacific,平和的な
471,whether,〜かどうか
472,heaven,天国
473,remove,移動する
474,gather,〜を集める
475,iceberg,氷山
476,religious,宗教の
477,sight,視力
478,volcano,火山/噴火口
479,bark,吠える
480,patience,忍耐力
481,honest,正直な
482,intelligence,知能
483,prison,刑務所
484,cell,細胞
485,scold,〜を叱る
486,wise,賢い
487,nod,うなずく
488,row,列
489,tongue,舌 / 言葉づかい
490,arrange,〜を手配する
491,cheerful,元気のいい
492,afford,〜できる余裕がある
493,replies,答える(複数形) / 返事をする
494,vague,はっきりしない
495,exact,正確な
496,tough,辛い/苦しい
497,ancestor,祖先
498,process,過程/進行/〜を処理する / 過程
499,rest,休息
500,shade,陰
501,broadcast,放送
502,fail,失敗する / 〜し損なう
503,servant,使用人
504,kite,凧
505,colony,植民地
506,survive,生き残る
507,within,...以内に
508,opposite,正反対の
509,deer,鹿
510,narrow,狭い
511,pretend,...であるふりをする
512,puzzle,困らせる
513,slope,傾斜する
514,violet,スミレ
515,windmill,風車
516,attitude,判断
517,behavior,振る舞い
518,compare,〜を比較する
519,furniture,家具
520,priest,聖職者
521,rat,ネズミ
522,rude,失礼な
523,discussion,話し合い
524,gun,鉄砲/銃
525,relieve,〜を取り除く
526,silly,愚かな
527,strict,厳しい
528,coast,沿岸
529,shrine,聖堂
530,suppose,...することになっている
531,worth,〜の価値がある / 価値がある
532,arrest,逮捕する
533,pillow,枕
534,release,〜を解き放す
535,tale,話
536,humor,ユーモア
537,sincerely,心から
538,court,法廷
539,unclear,はっきりしない
540,huge,巨大な
541,independent,独立した
542,port,港
543,fond,〜するのが大好きである
544,sightseeing,観光
545,industry,産業
546,aloud,声を出して
547,feather,羽
548,wool,羊毛
549,cure,〜を治療する
550,flood,洪水
551,worst,最低/最悪
552,foolish,愚かな
553,suburb,郊外
554,telent,才能
555,ambition,野心
556,frank,率直な
557,mad,怒って
558,pleasant,気持ちの良い
559,feature,特徴
560,architecture,建築
561,function,機能
562,structure,構造
563,frame,枠組み
564,tidy,片付いた
565,specific,具体的な
566,apply,申し込む
567,divide,分割する
568,weigh,重さがある
569,swallow,飲み込む
570,rob,奪う
571,satisfy,満たす
572,midnight,真夜中
573,windy,風の強い
574,valley,谷
575,landscape,風景
576,novel,小説
577,passage,一節
578,chart,図表
579,portrait,肖像画
580,instant,即座の
581,separate,別々の / 〜を隔てる
582,rate,割合 / ペース
583,aisle,通路
584,affair,情勢/問題/事務/業務
585,issue,問題(点)/発行する
586,murder,殺人
587,clue,手掛かり
588,doubt,疑う
589,envy,うらやむ
590,frighten,怖がらせる
591,split,裂く
592,chase,追いかける
593,emergency,緊急/非常時
594,liberty,自由
595,personality,個性
596,sake,ため/利益
597,honor,敬意/名誉
598,vocabulary,語彙
599,review,再検討/見直す
600,consequence,結果
601,inspiration,ひらめき/引き起こす
602,contrast,対照
603,confident,確信した / 自信に溢れた
604,likely,ありそうな
605,inner,内部の/精神的な
606,latest,最新の
607,gender,性別
608,bill,勘定/請求書 / 紙幣
609,sum,金額 / 合計
610,budget,予算
611,square,正方形
612,citizen,国民/市民
613,context,状況/背景
614,solution,解決/解決策/溶液
615,strategy,戦略/計画
616,committee,委員会
617,ruin,だめにする/破壊
618,slide,すべる/悪化する/滑走
619,spill,こぼす/こぼれる
620,summary,要約
621,favor,お願い/親切な行為
622,scene,現場/場面/景色
623,perfume,香水
624,supper,(軽い)夕食
625,curse,のろい/悪態
626,rumor,噂
627,enormous,巨大な
628,further,さらなる/さらに
629,major,大きな/より重要な/〜を専攻する
630,credit,クレジット/名誉/信用する
631,tune,曲
632,military,軍の/軍隊
633,teenager,少年少女
634,agent,代理業者
635,association,協会
636,fancy,高級な
637,anyway,とにかく
638,indeed,本当に
639,overseas,海外に
640,anxious,心配な
641,brilliant,素晴らしい
642,intelligent,知的な
643,awful,恐ろしい
644,criticize,非難する
645,mention,述べる
646,pronounce,発音する
647,reveal,明らかにする
648,scream,叫ぶ
649,pile,積み重ねる
650,pour,注ぐ
651,operate,動かす/手術する
652,cage,かご
653,junk,がらくた
654,pity,気の毒
655,attempt,試みる
656,forbid,禁止する
657,manage,何とかする / どうにか...する
658,regret,後悔する
659,organize,組織する
660,admit,認める / 〜を認める
661,appreciate,評価する/感謝する / 〜を正しく理解する
662,oppose,反対する
663,quit,やめる / 全く
664,beg,お願いする
665,provide,供給する / 〜を提供する
666,bother,困らせる
667,disturd,妨げる
668,spoil,台無しにする/甘やかす
669,consist,〜から成る
670,replace,取り替える
671,exist,生存する
672,establish,設立する
673,stare,〜をじっと見る
674,annoy,イライラさせる
675,blame,非難する
676,concern,心配させる/関わる
677,artificial,人工の
678,precise,正確な
679,automatic,自動の
680,raw,生の/未熟な
681,customer,客
682,secretary,秘書
683,slave,奴隷
684,bride,花嫁
685,editor,編集者
686,orphan,孤児
687,surname,苗字
688,labor,労働
689,load,荷
690,task,仕事
691,trade,貿易
692,occupation,職業
693,ray,光線
694,degree,程度
695,evidence,〜の証拠
696,atom,原子
697,unit,単位
698,violent,乱暴な
699,significant,重要な
700,smooth,平らな
701,FALSE,誤った
702,proper,適切な
703,appropriate,ふさわしい
704,suitable,〜に向いている
705,nowadays,近ごろ
706,mostly,大部分は
707,elsewhere,よそに
708,apart,離れて
709,argue,〜と言い合いをする / 言い争う
710,claim,要求する
711,debate,〜と討論する
712,indicate,示す
713,refer,〜に言及する
714,represent,表す
715,concentrate,〜に集中する
716,prodict,予言する
717,calculate,計算する
718,cancer,がん
719,muscle,筋肉
720,organ,器官/臓器
721,surgery,手術
722,symptom,症状
723,humid,湿気の多い
724,obvious,明らかな
725,severe,深刻な/厳しい / 深刻な
726,vast,ばく大な
727,delight,喜び
728,depression,憂うつ/不景気
729,desire,願望
730,despair,絶望
731,emotion,感情
732,gently,優しく
733,satisfactory,満足のいく
734,improvement,改善
735,failure,失敗
736,hall,玄関
737,cave,洞穴
738,vain,自信過剰な
739,construction,建設
740,complete,完全な
741,handsome,ハンサムな
742,acquire,〜を得る
743,spirit,心
744,insist,...だと強く主張する / 主張する
745,demand,需要
746,loss,喪失
747,conscious,〜に気付いている
748,married,結婚する
749,resume,〜を再開する
750,pause,ちょっと止める
751,length,長さ
752,risen,上がる
753,eldest,1番年上の
754,hate,〜が大嫌いである
755,salary,給料
756,occur,起こる
757,dealer,取扱業者
758,wealth,財産
759,insurance,保険
760,preference,好み
761,occupy,〜を使用する
762,proportion,割合
763,engagement,婚約
764,illness,病気
765,discount,割合
766,nap,居眠り
767,biology,生物学
768,teeth,歯
769,same,同じ
770,parcel,小包
771,purse,財布
772,slightest,わずかな
773,robbery,強盗
774,might,〜かもしれない
775,cash,現金
776,receipt,領収書
777,wonder,〜かしらと思う
778,faster,速く
779,terrible,猛烈な
780,passes,通り過ぎる
781,noodles,麺類
782,whatever,〜することは何でも
783,invitation,招待
784,poor,貧しい
785,elderly,年配の
786,economy,経済
787,serious,重大な
788,frequent,たびたびの
789,immediate,即座の
790,initial,最初の
791,internal,内部の
792,previous,前の
793,rapid,急速な
794,urban,都会の
795,monument,記念碑
796,reputation,評判
797,routine,日課
798,scholarship,奨学金
799,series,ひと続き
800,vehicle,乗り物
801,notion,観念
802,obstacle,障害
803,potential,潜在力
804,relation,関係
805,responsibrlity,責任
806,sequence,順序
807,stretch,広がり
808,respond,答える
809,extend,伸ばす
810,decline,断る
811,behave,振る舞う
812,burst,破裂する
813,compose,構成する
814,heal,治す
815,extraordinary,並外れた
816,fundamental,根本的な
817,inevitable,避けられない
818,minor,小さい
819,precious,貴重な
820,rare,まれな
821,remarkable,著しい
822,urgent,緊急の
823,valuable,高価な
824,consumer,消費者
825,firm,会社
826,negotiation,交渉
827,union,合併
828,aspect,側面
829,definition,定義
830,device,装置
831,experiment,〜への実験
832,insight,洞察力
833,journal,雑誌
834,aggressive,攻撃的な
835,horrible,恐ろしい
836,incredible,信じられない
837,plain,わかりやすい
838,positive,積極的な
839,stupid,馬鹿な
840,vainner,無駄な
841,eventually,最終的に
842,politics,政治
843,poverty,貧困
844,prejudice,偏見
845,priority,優先
846,principle,原則
847,protect,抗議
848,race,人種
849,status,地位
850,inspire,奮い立たせる
851,regard,みなす
852,settle,解決する
853,command,命令する
854,literary,文学の
855,tropical,熱帯の
856,responsible,責任がある
857,steady,安定した
858,universal,普遍的な
859,fade,消えていく
860,examine,調べる
861,fascinate,魅了する
862,hesitate,ためらう
863,recall,思い出す
864,restore,修復する
865,transform,変化させる
866,vary,異なる
867,compete,競争する
868,devote,捧げる
869,educate,教育する
870,launch,始める
871,glance,ちらっと見ること
